,TimeStamp,Little,Ring,Middle,Index,Thumb
3782,2022-01-11 15:30:41.174,6.0,2.0,1.0,-11.0,38.0
3783,2022-01-11 15:30:41.199,6.0,2.0,1.0,-11.0,37.0
3784,2022-01-11 15:30:41.219,6.0,2.0,1.0,-11.0,37.0
3785,2022-01-11 15:30:41.244,6.0,2.0,1.0,-12.0,37.0
3786,2022-01-11 15:30:41.264,6.0,2.0,1.0,-12.0,37.0
3787,2022-01-11 15:30:41.284,6.0,2.0,1.0,-12.0,36.0
3788,2022-01-11 15:30:41.309,6.0,2.0,1.0,-12.0,36.0
3789,2022-01-11 15:30:41.330,6.0,2.0,1.0,-12.0,35.0
3790,2022-01-11 15:30:41.354,6.0,2.0,1.0,-12.0,35.0
3791,2022-01-11 15:30:41.375,6.0,2.0,1.0,-12.0,35.0
3792,2022-01-11 15:30:41.395,6.0,2.0,1.0,-11.0,34.0
3793,2022-01-11 15:30:41.420,6.0,2.0,1.0,-11.0,34.0
3794,2022-01-11 15:30:41.440,6.0,2.0,1.0,-11.0,34.0
3795,2022-01-11 15:30:41.465,6.0,3.0,1.0,-11.0,34.0
3796,2022-01-11 15:30:41.485,7.0,4.0,2.0,-10.0,33.0
3797,2022-01-11 15:30:41.506,7.0,6.0,4.0,-9.0,33.0
3798,2022-01-11 15:30:41.530,9.0,10.0,6.0,-7.0,33.0
3799,2022-01-11 15:30:41.551,12.0,14.0,9.0,-5.0,33.0
3800,2022-01-11 15:30:41.576,16.0,21.0,12.0,-4.0,34.0
3801,2022-01-11 15:30:41.596,24.0,28.0,14.0,-2.0,34.0
3802,2022-01-11 15:30:41.616,32.0,33.0,16.0,0.0,34.0
3803,2022-01-11 15:30:41.641,39.0,41.0,19.0,4.0,35.0
3804,2022-01-11 15:30:41.661,47.0,48.0,23.0,9.0,36.0
3805,2022-01-11 15:30:41.686,54.0,55.0,26.0,15.0,38.0
3806,2022-01-11 15:30:41.707,60.0,63.0,30.0,19.0,39.0
3807,2022-01-11 15:30:41.727,68.0,71.0,33.0,22.0,40.0
3808,2022-01-11 15:30:41.751,75.0,79.0,36.0,25.0,41.0
3809,2022-01-11 15:30:41.772,79.0,86.0,39.0,27.0,41.0
3810,2022-01-11 15:30:41.797,85.0,94.0,43.0,32.0,41.0
3811,2022-01-11 15:30:41.817,92.0,101.0,50.0,38.0,42.0
3812,2022-01-11 15:30:41.842,100.0,110.0,58.0,46.0,43.0
3813,2022-01-11 15:30:41.862,107.0,116.0,64.0,51.0,44.0
3814,2022-01-11 15:30:41.883,110.0,121.0,70.0,54.0,46.0
3815,2022-01-11 15:30:41.907,114.0,126.0,76.0,57.0,48.0
3816,2022-01-11 15:30:41.928,117.0,129.0,80.0,60.0,50.0
3817,2022-01-11 15:30:41.952,121.0,132.0,84.0,63.0,51.0
3818,2022-01-11 15:30:41.973,124.0,135.0,87.0,64.0,54.0
3819,2022-01-11 15:30:41.993,126.0,135.0,90.0,65.0,54.0
3820,2022-01-11 15:30:42.018,129.0,137.0,92.0,66.0,54.0
3821,2022-01-11 15:30:42.038,130.0,140.0,95.0,67.0,55.0
3822,2022-01-11 15:30:42.063,132.0,140.0,97.0,69.0,56.0
3823,2022-01-11 15:30:42.083,133.0,140.0,98.0,71.0,56.0
3824,2022-01-11 15:30:42.108,132.0,140.0,98.0,71.0,56.0
3825,2022-01-11 15:30:42.128,132.0,140.0,98.0,71.0,57.0
3826,2022-01-11 15:30:42.149,133.0,142.0,100.0,72.0,57.0
3827,2022-01-11 15:30:42.174,135.0,144.0,100.0,72.0,57.0
3828,2022-01-11 15:30:42.194,135.0,142.0,100.0,71.0,56.0
3829,2022-01-11 15:30:42.218,135.0,142.0,100.0,71.0,57.0
