,TimeStamp,Little,Ring,Middle,Index,Thumb
6013,2022-01-11 15:31:30.596,7.0,3.0,2.0,-10.0,27.0
6014,2022-01-11 15:31:30.620,7.0,3.0,2.0,-10.0,27.0
6015,2022-01-11 15:31:30.641,7.0,2.0,1.0,-10.0,27.0
6016,2022-01-11 15:31:30.665,7.0,2.0,1.0,-10.0,27.0
6017,2022-01-11 15:31:30.686,7.0,2.0,1.0,-10.0,27.0
6018,2022-01-11 15:31:30.706,7.0,2.0,1.0,-10.0,26.0
6019,2022-01-11 15:31:30.731,7.0,3.0,1.0,-11.0,27.0
6020,2022-01-11 15:31:30.751,7.0,2.0,1.0,-10.0,26.0
6021,2022-01-11 15:31:30.776,7.0,2.0,1.0,-11.0,27.0
6022,2022-01-11 15:31:30.796,7.0,2.0,1.0,-11.0,26.0
6023,2022-01-11 15:31:30.817,7.0,2.0,1.0,-11.0,26.0
6024,2022-01-11 15:31:30.841,7.0,2.0,1.0,-11.0,26.0
6025,2022-01-11 15:31:30.862,7.0,2.0,1.0,-11.0,26.0
6026,2022-01-11 15:31:30.886,7.0,2.0,1.0,-11.0,26.0
6027,2022-01-11 15:31:30.907,7.0,2.0,1.0,-11.0,26.0
6028,2022-01-11 15:31:30.927,7.0,3.0,1.0,-11.0,26.0
6029,2022-01-11 15:31:30.952,7.0,3.0,1.0,-10.0,26.0
6030,2022-01-11 15:31:30.972,8.0,4.0,2.0,-10.0,27.0
6031,2022-01-11 15:31:30.997,9.0,6.0,3.0,-10.0,27.0
6032,2022-01-11 15:31:31.017,10.0,8.0,3.0,-9.0,27.0
6033,2022-01-11 15:31:31.038,11.0,10.0,5.0,-8.0,27.0
6034,2022-01-11 15:31:31.063,12.0,13.0,6.0,-7.0,27.0
6035,2022-01-11 15:31:31.083,13.0,15.0,8.0,-6.0,28.0
6036,2022-01-11 15:31:31.108,16.0,19.0,9.0,-5.0,28.0
6037,2022-01-11 15:31:31.128,20.0,23.0,10.0,-5.0,29.0
6038,2022-01-11 15:31:31.148,24.0,28.0,11.0,-4.0,30.0
6039,2022-01-11 15:31:31.173,28.0,33.0,13.0,-2.0,31.0
6040,2022-01-11 15:31:31.194,33.0,38.0,16.0,0.0,33.0
6041,2022-01-11 15:31:31.218,39.0,45.0,19.0,2.0,35.0
6042,2022-01-11 15:31:31.239,46.0,50.0,22.0,6.0,37.0
6043,2022-01-11 15:31:31.263,53.0,55.0,26.0,11.0,38.0
6044,2022-01-11 15:31:31.284,61.0,64.0,32.0,17.0,39.0
6045,2022-01-11 15:31:31.304,70.0,75.0,37.0,24.0,41.0
6046,2022-01-11 15:31:31.329,79.0,83.0,41.0,27.0,42.0
6047,2022-01-11 15:31:31.349,88.0,91.0,45.0,31.0,43.0
6048,2022-01-11 15:31:31.374,97.0,100.0,49.0,34.0,45.0
6049,2022-01-11 15:31:31.394,104.0,107.0,54.0,39.0,45.0
6050,2022-01-11 15:31:31.415,110.0,113.0,59.0,44.0,47.0
6051,2022-01-11 15:31:31.439,117.0,119.0,65.0,51.0,47.0
6052,2022-01-11 15:31:31.460,125.0,126.0,70.0,55.0,49.0
6053,2022-01-11 15:31:31.484,130.0,130.0,74.0,58.0,50.0
6054,2022-01-11 15:31:31.505,133.0,134.0,78.0,59.0,52.0
6055,2022-01-11 15:31:31.525,139.0,137.0,81.0,61.0,53.0
6056,2022-01-11 15:31:31.550,142.0,140.0,84.0,63.0,54.0
6057,2022-01-11 15:31:31.570,143.0,142.0,86.0,64.0,55.0
6058,2022-01-11 15:31:31.595,143.0,142.0,86.0,64.0,56.0
6059,2022-01-11 15:31:31.615,143.0,142.0,87.0,64.0,56.0
6060,2022-01-11 15:31:31.640,144.0,140.0,87.0,64.0,56.0
