,TimeStamp,Little,Ring,Middle,Index,Thumb
258,2022-01-11 15:29:23.094,10.0,7.0,4.0,-8.0,43.0
259,2022-01-11 15:29:23.119,10.0,7.0,4.0,-8.0,43.0
260,2022-01-11 15:29:23.139,10.0,7.0,4.0,-8.0,43.0
261,2022-01-11 15:29:23.164,10.0,7.0,4.0,-8.0,42.0
262,2022-01-11 15:29:23.184,10.0,7.0,4.0,-8.0,42.0
263,2022-01-11 15:29:23.205,10.0,7.0,5.0,-8.0,42.0
264,2022-01-11 15:29:23.230,10.0,7.0,4.0,-8.0,42.0
265,2022-01-11 15:29:23.250,11.0,8.0,5.0,-8.0,41.0
266,2022-01-11 15:29:23.275,12.0,9.0,5.0,-7.0,41.0
267,2022-01-11 15:29:23.295,12.0,11.0,7.0,-6.0,41.0
268,2022-01-11 15:29:23.315,14.0,13.0,8.0,-5.0,41.0
269,2022-01-11 15:29:23.340,15.0,16.0,11.0,-4.0,41.0
270,2022-01-11 15:29:23.361,17.0,23.0,13.0,-2.0,41.0
271,2022-01-11 15:29:23.385,19.0,29.0,16.0,0.0,41.0
272,2022-01-11 15:29:23.406,22.0,33.0,18.0,0.0,41.0
273,2022-01-11 15:29:23.426,25.0,38.0,20.0,2.0,41.0
274,2022-01-11 15:29:23.451,28.0,42.0,23.0,4.0,41.0
275,2022-01-11 15:29:23.471,33.0,47.0,26.0,6.0,41.0
276,2022-01-11 15:29:23.496,38.0,50.0,29.0,9.0,42.0
277,2022-01-11 15:29:23.516,43.0,55.0,32.0,12.0,42.0
278,2022-01-11 15:29:23.541,48.0,60.0,34.0,15.0,43.0
279,2022-01-11 15:29:23.562,53.0,64.0,37.0,17.0,43.0
280,2022-01-11 15:29:23.582,56.0,68.0,40.0,21.0,43.0
281,2022-01-11 15:29:23.606,60.0,72.0,44.0,25.0,43.0
282,2022-01-11 15:29:23.627,63.0,76.0,47.0,28.0,44.0
283,2022-01-11 15:29:23.652,66.0,80.0,50.0,31.0,44.0
284,2022-01-11 15:29:23.672,69.0,86.0,55.0,36.0,44.0
285,2022-01-11 15:29:23.692,74.0,91.0,62.0,41.0,45.0
286,2022-01-11 15:29:23.717,78.0,96.0,66.0,45.0,45.0
287,2022-01-11 15:29:23.738,82.0,100.0,71.0,49.0,46.0
288,2022-01-11 15:29:23.762,85.0,104.0,74.0,53.0,47.0
289,2022-01-11 15:29:23.783,88.0,107.0,79.0,57.0,47.0
290,2022-01-11 15:29:23.803,93.0,112.0,83.0,60.0,48.0
291,2022-01-11 15:29:23.828,98.0,116.0,88.0,64.0,48.0
292,2022-01-11 15:29:23.848,103.0,119.0,93.0,68.0,48.0
293,2022-01-11 15:29:23.873,107.0,124.0,97.0,71.0,49.0
294,2022-01-11 15:29:23.893,112.0,127.0,100.0,74.0,49.0
295,2022-01-11 15:29:23.918,116.0,130.0,105.0,76.0,49.0
296,2022-01-11 15:29:23.938,120.0,134.0,108.0,80.0,50.0
297,2022-01-11 15:29:23.959,124.0,137.0,111.0,83.0,51.0
298,2022-01-11 15:29:23.983,129.0,140.0,115.0,85.0,50.0
299,2022-01-11 15:29:24.004,132.0,142.0,117.0,87.0,51.0
300,2022-01-11 15:29:24.029,135.0,145.0,120.0,89.0,52.0
301,2022-01-11 15:29:24.049,139.0,147.0,123.0,90.0,52.0
302,2022-01-11 15:29:24.069,140.0,150.0,126.0,91.0,53.0
303,2022-01-11 15:29:24.094,144.0,152.0,128.0,92.0,54.0
304,2022-01-11 15:29:24.114,146.0,152.0,129.0,91.0,55.0
305,2022-01-11 15:29:24.139,147.0,154.0,131.0,91.0,55.0
306,2022-01-11 15:29:24.159,149.0,155.0,132.0,91.0,55.0
307,2022-01-11 15:29:24.184,150.0,155.0,133.0,91.0,55.0
308,2022-01-11 15:29:24.205,150.0,155.0,133.0,91.0,56.0
309,2022-01-11 15:29:24.225,150.0,155.0,133.0,91.0,56.0
310,2022-01-11 15:29:24.250,150.0,155.0,133.0,92.0,57.0
311,2022-01-11 15:29:24.270,150.0,157.0,134.0,92.0,58.0
312,2022-01-11 15:29:24.295,152.0,155.0,134.0,92.0,58.0
313,2022-01-11 15:29:24.315,150.0,155.0,134.0,92.0,58.0
314,2022-01-11 15:29:24.335,150.0,155.0,134.0,92.0,58.0
315,2022-01-11 15:29:24.360,150.0,155.0,134.0,92.0,59.0
316,2022-01-11 15:29:24.381,150.0,155.0,134.0,94.0,60.0
317,2022-01-11 15:29:24.405,150.0,155.0,134.0,94.0,60.0
318,2022-01-11 15:29:24.426,149.0,154.0,134.0,94.0,60.0
