,TimeStamp,Little,Ring,Middle,Index,Thumb
5642,2022-01-11 15:31:22.383,7.0,1.0,1.0,-10.0,27.0
5643,2022-01-11 15:31:22.403,7.0,1.0,0.0,-10.0,26.0
5644,2022-01-11 15:31:22.423,7.0,1.0,1.0,-10.0,26.0
5645,2022-01-11 15:31:22.448,7.0,1.0,1.0,-10.0,26.0
5646,2022-01-11 15:31:22.468,7.0,1.0,1.0,-10.0,26.0
5647,2022-01-11 15:31:22.493,7.0,1.0,1.0,-10.0,27.0
5648,2022-01-11 15:31:22.514,7.0,2.0,2.0,-9.0,27.0
5649,2022-01-11 15:31:22.534,8.0,4.0,3.0,-8.0,28.0
5650,2022-01-11 15:31:22.559,10.0,8.0,6.0,-7.0,29.0
5651,2022-01-11 15:31:22.579,12.0,12.0,9.0,-5.0,30.0
5652,2022-01-11 15:31:22.604,17.0,18.0,12.0,-4.0,31.0
5653,2022-01-11 15:31:22.624,23.0,23.0,16.0,-2.0,34.0
5654,2022-01-11 15:31:22.645,29.0,29.0,19.0,0.0,36.0
5655,2022-01-11 15:31:22.669,33.0,33.0,21.0,2.0,38.0
5656,2022-01-11 15:31:22.690,39.0,38.0,24.0,6.0,39.0
5657,2022-01-11 15:31:22.714,46.0,45.0,29.0,10.0,41.0
5658,2022-01-11 15:31:22.735,55.0,54.0,36.0,17.0,44.0
5659,2022-01-11 15:31:22.755,64.0,63.0,45.0,25.0,47.0
5660,2022-01-11 15:31:22.780,69.0,73.0,52.0,32.0,49.0
5661,2022-01-11 15:31:22.800,78.0,81.0,60.0,39.0,50.0
5662,2022-01-11 15:31:22.825,86.0,91.0,66.0,45.0,51.0
5663,2022-01-11 15:31:22.845,96.0,98.0,73.0,51.0,51.0
5664,2022-01-11 15:31:22.866,104.0,106.0,79.0,55.0,52.0
5665,2022-01-11 15:31:22.891,110.0,112.0,84.0,60.0,53.0
5666,2022-01-11 15:31:22.911,120.0,118.0,89.0,65.0,53.0
5667,2022-01-11 15:31:22.935,128.0,124.0,94.0,69.0,54.0
5668,2022-01-11 15:31:22.956,133.0,127.0,97.0,72.0,55.0
5669,2022-01-11 15:31:22.981,137.0,130.0,100.0,73.0,55.0
5670,2022-01-11 15:31:23.001,140.0,134.0,101.0,75.0,57.0
5671,2022-01-11 15:31:23.021,143.0,134.0,102.0,74.0,57.0
5672,2022-01-11 15:31:23.046,144.0,135.0,104.0,74.0,59.0
5673,2022-01-11 15:31:23.067,146.0,135.0,105.0,74.0,58.0
5674,2022-01-11 15:31:23.091,146.0,135.0,105.0,75.0,58.0
5675,2022-01-11 15:31:23.112,144.0,135.0,104.0,73.0,59.0
5676,2022-01-11 15:31:23.132,143.0,134.0,104.0,73.0,59.0
