,TimeStamp,Little,Ring,Middle,Index,Thumb
131,2022-01-11 15:29:20.280,12.0,11.0,7.0,-6.0,44.0
132,2022-01-11 15:29:20.305,13.0,12.0,9.0,-5.0,43.0
133,2022-01-11 15:29:20.325,14.0,14.0,9.0,-5.0,44.0
134,2022-01-11 15:29:20.350,16.0,16.0,11.0,-5.0,44.0
135,2022-01-11 15:29:20.370,17.0,21.0,12.0,-4.0,45.0
136,2022-01-11 15:29:20.391,18.0,25.0,14.0,-2.0,44.0
137,2022-01-11 15:29:20.415,19.0,28.0,16.0,-1.0,44.0
138,2022-01-11 15:29:20.436,20.0,29.0,17.0,-1.0,44.0
139,2022-01-11 15:29:20.460,21.0,31.0,18.0,0.0,45.0
140,2022-01-11 15:29:20.481,23.0,33.0,20.0,0.0,45.0
141,2022-01-11 15:29:20.501,24.0,36.0,21.0,1.0,45.0
142,2022-01-11 15:29:20.526,25.0,38.0,23.0,2.0,44.0
143,2022-01-11 15:29:20.546,27.0,42.0,24.0,3.0,45.0
144,2022-01-11 15:29:20.571,29.0,43.0,26.0,5.0,45.0
145,2022-01-11 15:29:20.592,32.0,45.0,27.0,6.0,46.0
146,2022-01-11 15:29:20.612,33.0,49.0,29.0,7.0,46.0
147,2022-01-11 15:29:20.637,36.0,51.0,32.0,10.0,47.0
148,2022-01-11 15:29:20.657,40.0,55.0,36.0,14.0,47.0
149,2022-01-11 15:29:20.682,44.0,60.0,39.0,17.0,47.0
150,2022-01-11 15:29:20.702,49.0,65.0,44.0,20.0,48.0
151,2022-01-11 15:29:20.727,53.0,69.0,48.0,23.0,48.0
152,2022-01-11 15:29:20.747,57.0,75.0,52.0,27.0,48.0
153,2022-01-11 15:29:20.767,62.0,77.0,56.0,31.0,48.0
154,2022-01-11 15:29:20.792,65.0,83.0,61.0,35.0,49.0
155,2022-01-11 15:29:20.813,70.0,87.0,66.0,39.0,49.0
156,2022-01-11 15:29:20.837,74.0,94.0,70.0,43.0,50.0
157,2022-01-11 15:29:20.858,79.0,98.0,75.0,47.0,50.0
158,2022-01-11 15:29:20.878,83.0,103.0,78.0,49.0,50.0
159,2022-01-11 15:29:20.903,87.0,107.0,82.0,53.0,50.0
160,2022-01-11 15:29:20.923,92.0,110.0,85.0,56.0,51.0
161,2022-01-11 15:29:20.948,97.0,113.0,88.0,58.0,51.0
162,2022-01-11 15:29:20.968,102.0,118.0,91.0,60.0,51.0
163,2022-01-11 15:29:20.989,105.0,123.0,94.0,63.0,51.0
164,2022-01-11 15:29:21.014,109.0,124.0,96.0,65.0,51.0
165,2022-01-11 15:29:21.034,112.0,127.0,98.0,67.0,52.0
166,2022-01-11 15:29:21.059,116.0,130.0,101.0,68.0,52.0
167,2022-01-11 15:29:21.079,121.0,134.0,105.0,71.0,53.0
168,2022-01-11 15:29:21.104,125.0,137.0,108.0,74.0,52.0
169,2022-01-11 15:29:21.124,129.0,140.0,110.0,76.0,53.0
170,2022-01-11 15:29:21.144,133.0,142.0,113.0,78.0,53.0
171,2022-01-11 15:29:21.169,137.0,145.0,116.0,80.0,53.0
172,2022-01-11 15:29:21.190,140.0,147.0,118.0,83.0,53.0
173,2022-01-11 15:29:21.214,142.0,149.0,120.0,84.0,54.0
174,2022-01-11 15:29:21.235,143.0,149.0,120.0,84.0,54.0
175,2022-01-11 15:29:21.255,144.0,150.0,121.0,85.0,54.0
176,2022-01-11 15:29:21.280,146.0,150.0,121.0,84.0,55.0
177,2022-01-11 15:29:21.300,147.0,152.0,121.0,84.0,55.0
178,2022-01-11 15:29:21.325,149.0,152.0,123.0,85.0,56.0
179,2022-01-11 15:29:21.345,150.0,154.0,124.0,86.0,56.0
180,2022-01-11 15:29:21.370,152.0,155.0,126.0,85.0,57.0
181,2022-01-11 15:29:21.390,153.0,155.0,127.0,85.0,57.0
182,2022-01-11 15:29:21.411,153.0,155.0,126.0,85.0,57.0
183,2022-01-11 15:29:21.435,155.0,157.0,127.0,86.0,58.0
184,2022-01-11 15:29:21.456,156.0,157.0,127.0,86.0,58.0
