,TimeStamp,Little,Ring,Middle,Index,Thumb
4461,2022-01-11 15:30:56.220,15.0,9.0,6.0,-9.0,37.0
4462,2022-01-11 15:30:56.244,15.0,9.0,6.0,-9.0,38.0
4463,2022-01-11 15:30:56.265,15.0,9.0,6.0,-9.0,37.0
4464,2022-01-11 15:30:56.285,15.0,9.0,6.0,-8.0,37.0
4465,2022-01-11 15:30:56.310,15.0,9.0,6.0,-9.0,37.0
4466,2022-01-11 15:30:56.330,15.0,9.0,6.0,-9.0,37.0
4467,2022-01-11 15:30:56.355,15.0,9.0,6.0,-9.0,37.0
4468,2022-01-11 15:30:56.375,15.0,9.0,6.0,-9.0,37.0
4469,2022-01-11 15:30:56.396,15.0,9.0,6.0,-9.0,37.0
4470,2022-01-11 15:30:56.420,15.0,9.0,6.0,-9.0,37.0
4471,2022-01-11 15:30:56.441,15.0,9.0,6.0,-8.0,37.0
4472,2022-01-11 15:30:56.465,15.0,9.0,6.0,-9.0,37.0
4473,2022-01-11 15:30:56.486,15.0,9.0,6.0,-9.0,37.0
4474,2022-01-11 15:30:56.506,15.0,9.0,6.0,-8.0,37.0
4475,2022-01-11 15:30:56.531,15.0,9.0,6.0,-8.0,37.0
4476,2022-01-11 15:30:56.551,15.0,9.0,6.0,-8.0,37.0
4477,2022-01-11 15:30:56.576,15.0,9.0,6.0,-8.0,37.0
4478,2022-01-11 15:30:56.597,16.0,10.0,6.0,-8.0,37.0
4479,2022-01-11 15:30:56.617,16.0,10.0,6.0,-8.0,37.0
4480,2022-01-11 15:30:56.642,17.0,11.0,7.0,-8.0,37.0
4481,2022-01-11 15:30:56.662,19.0,14.0,8.0,-7.0,37.0
4482,2022-01-11 15:30:56.687,23.0,15.0,9.0,-6.0,37.0
4483,2022-01-11 15:30:56.707,25.0,19.0,10.0,-5.0,38.0
4484,2022-01-11 15:30:56.732,30.0,22.0,13.0,-4.0,38.0
4485,2022-01-11 15:30:56.752,36.0,29.0,18.0,0.0,39.0
4486,2022-01-11 15:30:56.773,40.0,35.0,21.0,2.0,40.0
4487,2022-01-11 15:30:56.797,44.0,38.0,23.0,4.0,40.0
4488,2022-01-11 15:30:56.818,46.0,41.0,26.0,6.0,41.0
4489,2022-01-11 15:30:56.842,49.0,44.0,28.0,8.0,41.0
4490,2022-01-11 15:30:56.863,53.0,49.0,32.0,11.0,41.0
4491,2022-01-11 15:30:56.883,57.0,53.0,35.0,14.0,41.0
4492,2022-01-11 15:30:56.908,63.0,59.0,40.0,18.0,42.0
4493,2022-01-11 15:30:56.928,70.0,68.0,48.0,25.0,43.0
4494,2022-01-11 15:30:56.953,78.0,77.0,55.0,32.0,44.0
4495,2022-01-11 15:30:56.973,87.0,86.0,63.0,38.0,45.0
4496,2022-01-11 15:30:56.994,97.0,96.0,71.0,43.0,46.0
4497,2022-01-11 15:30:57.018,108.0,107.0,80.0,49.0,46.0
4498,2022-01-11 15:30:57.039,117.0,116.0,89.0,57.0,47.0
4499,2022-01-11 15:30:57.063,128.0,124.0,95.0,63.0,49.0
4500,2022-01-11 15:30:57.084,136.0,129.0,99.0,66.0,49.0
4501,2022-01-11 15:30:57.104,139.0,134.0,104.0,68.0,50.0
4502,2022-01-11 15:30:57.129,149.0,140.0,108.0,72.0,51.0
4503,2022-01-11 15:30:57.149,156.0,144.0,113.0,75.0,51.0
4504,2022-01-11 15:30:57.174,164.0,147.0,116.0,76.0,52.0
4505,2022-01-11 15:30:57.195,172.0,150.0,117.0,78.0,53.0
4506,2022-01-11 15:30:57.219,177.0,152.0,118.0,78.0,55.0
4507,2022-01-11 15:30:57.240,180.0,154.0,120.0,78.0,58.0
4508,2022-01-11 15:30:57.260,182.0,155.0,120.0,76.0,59.0
