,TimeStamp,Little,Ring,Middle,Index,Thumb
7874,2022-01-11 15:32:11.820,7.0,1.0,1.0,-10.0,31.0
7875,2022-01-11 15:32:11.845,7.0,1.0,1.0,-10.0,31.0
7876,2022-01-11 15:32:11.866,7.0,1.0,1.0,-10.0,31.0
7877,2022-01-11 15:32:11.890,7.0,1.0,1.0,-10.0,31.0
7878,2022-01-11 15:32:11.911,7.0,1.0,1.0,-10.0,31.0
7879,2022-01-11 15:32:11.931,7.0,1.0,1.0,-10.0,31.0
7880,2022-01-11 15:32:11.956,7.0,1.0,1.0,-10.0,31.0
7881,2022-01-11 15:32:11.976,7.0,1.0,1.0,-10.0,31.0
7882,2022-01-11 15:32:12.001,7.0,1.0,1.0,-10.0,31.0
7883,2022-01-11 15:32:12.021,7.0,1.0,1.0,-10.0,31.0
7884,2022-01-11 15:32:12.042,7.0,1.0,1.0,-10.0,31.0
7885,2022-01-11 15:32:12.066,7.0,1.0,1.0,-10.0,30.0
7886,2022-01-11 15:32:12.087,7.0,1.0,1.0,-10.0,30.0
7887,2022-01-11 15:32:12.112,7.0,1.0,1.0,-10.0,30.0
7888,2022-01-11 15:32:12.132,7.0,1.0,1.0,-10.0,31.0
7889,2022-01-11 15:32:12.152,7.0,1.0,1.0,-10.0,30.0
7890,2022-01-11 15:32:12.177,7.0,1.0,1.0,-10.0,30.0
7891,2022-01-11 15:32:12.197,8.0,1.0,1.0,-10.0,30.0
7892,2022-01-11 15:32:12.222,8.0,1.0,1.0,-9.0,30.0
7893,2022-01-11 15:32:12.242,8.0,1.0,1.0,-9.0,30.0
7894,2022-01-11 15:32:12.263,8.0,2.0,1.0,-9.0,31.0
7895,2022-01-11 15:32:12.288,8.0,2.0,2.0,-9.0,32.0
7896,2022-01-11 15:32:12.308,9.0,3.0,2.0,-9.0,31.0
7897,2022-01-11 15:32:12.333,9.0,4.0,3.0,-9.0,31.0
7898,2022-01-11 15:32:12.353,10.0,5.0,3.0,-9.0,31.0
7899,2022-01-11 15:32:12.373,11.0,6.0,4.0,-8.0,31.0
7900,2022-01-11 15:32:12.398,12.0,8.0,5.0,-8.0,32.0
7901,2022-01-11 15:32:12.418,13.0,12.0,7.0,-7.0,33.0
7902,2022-01-11 15:32:12.443,17.0,16.0,9.0,-5.0,34.0
7903,2022-01-11 15:32:12.464,19.0,20.0,10.0,-5.0,34.0
7904,2022-01-11 15:32:12.484,23.0,23.0,11.0,-5.0,35.0
7905,2022-01-11 15:32:12.509,26.0,28.0,13.0,-4.0,36.0
7906,2022-01-11 15:32:12.529,31.0,32.0,15.0,-2.0,37.0
7907,2022-01-11 15:32:12.554,38.0,39.0,19.0,0.0,39.0
7908,2022-01-11 15:32:12.574,45.0,45.0,22.0,2.0,41.0
7909,2022-01-11 15:32:12.595,51.0,51.0,26.0,6.0,42.0
7910,2022-01-11 15:32:12.619,57.0,58.0,31.0,10.0,42.0
7911,2022-01-11 15:32:12.640,66.0,68.0,37.0,15.0,43.0
7912,2022-01-11 15:32:12.664,77.0,79.0,45.0,21.0,44.0
7913,2022-01-11 15:32:12.685,88.0,88.0,52.0,27.0,46.0
7914,2022-01-11 15:32:12.705,98.0,96.0,59.0,32.0,47.0
7915,2022-01-11 15:32:12.730,109.0,104.0,66.0,39.0,48.0
7916,2022-01-11 15:32:12.750,118.0,110.0,73.0,45.0,49.0
7917,2022-01-11 15:32:12.775,126.0,116.0,80.0,51.0,50.0
7918,2022-01-11 15:32:12.795,136.0,123.0,88.0,56.0,51.0
7919,2022-01-11 15:32:12.820,144.0,129.0,94.0,61.0,51.0
7920,2022-01-11 15:32:12.841,155.0,135.0,101.0,65.0,52.0
7921,2022-01-11 15:32:12.861,164.0,142.0,109.0,69.0,54.0
7922,2022-01-11 15:32:12.886,174.0,147.0,115.0,74.0,53.0
7923,2022-01-11 15:32:12.906,183.0,154.0,121.0,78.0,53.0
7924,2022-01-11 15:32:12.931,194.0,159.0,127.0,83.0,53.0
7925,2022-01-11 15:32:12.951,204.0,164.0,134.0,86.0,53.0
7926,2022-01-11 15:32:12.971,213.0,170.0,138.0,87.0,53.0
7927,2022-01-11 15:32:12.996,221.0,173.0,142.0,89.0,54.0
7928,2022-01-11 15:32:13.017,226.0,175.0,146.0,92.0,56.0
7929,2022-01-11 15:32:13.041,230.0,177.0,149.0,91.0,57.0
7930,2022-01-11 15:32:13.062,232.0,179.0,152.0,91.0,57.0
7931,2022-01-11 15:32:13.086,236.0,181.0,154.0,91.0,57.0
7932,2022-01-11 15:32:13.107,240.0,182.0,154.0,91.0,57.0
