,TimeStamp,Little,Ring,Middle,Index,Thumb
3123,2022-01-11 15:56:51.139,259.0,8.0,-3.0,5.0,82.0
3124,2022-01-11 15:56:51.159,259.0,9.0,-2.0,6.0,82.0
3125,2022-01-11 15:56:51.184,259.0,11.0,-2.0,7.0,81.0
3126,2022-01-11 15:56:51.204,259.0,14.0,-2.0,7.0,82.0
3127,2022-01-11 15:56:51.229,256.0,18.0,-1.0,8.0,81.0
3128,2022-01-11 15:56:51.249,256.0,23.0,-1.0,10.0,82.0
3129,2022-01-11 15:56:51.270,256.0,30.0,1.0,12.0,82.0
3130,2022-01-11 15:56:51.294,259.0,35.0,8.0,14.0,82.0
3131,2022-01-11 15:56:51.315,256.0,39.0,13.0,17.0,82.0
3132,2022-01-11 15:56:51.339,256.0,45.0,20.0,20.0,83.0
3133,2022-01-11 15:56:51.360,256.0,51.0,23.0,23.0,83.0
3134,2022-01-11 15:56:51.380,256.0,59.0,26.0,25.0,83.0
3135,2022-01-11 15:56:51.405,259.0,65.0,30.0,29.0,83.0
3136,2022-01-11 15:56:51.425,256.0,72.0,35.0,34.0,83.0
3137,2022-01-11 15:56:51.450,256.0,77.0,38.0,37.0,82.0
3138,2022-01-11 15:56:51.470,256.0,81.0,41.0,39.0,83.0
3139,2022-01-11 15:56:51.491,256.0,88.0,44.0,42.0,83.0
3140,2022-01-11 15:56:51.515,256.0,96.0,48.0,45.0,83.0
3141,2022-01-11 15:56:51.536,254.0,101.0,51.0,48.0,83.0
3142,2022-01-11 15:56:51.560,256.0,104.0,55.0,53.0,83.0
3143,2022-01-11 15:56:51.581,254.0,109.0,58.0,56.0,83.0
3144,2022-01-11 15:56:51.606,254.0,113.0,61.0,59.0,84.0
3145,2022-01-11 15:56:51.626,256.0,118.0,64.0,61.0,84.0
3146,2022-01-11 15:56:51.646,254.0,121.0,67.0,66.0,84.0
3147,2022-01-11 15:56:51.671,254.0,126.0,73.0,71.0,83.0
3148,2022-01-11 15:56:51.691,254.0,132.0,79.0,76.0,84.0
3149,2022-01-11 15:56:51.716,254.0,137.0,84.0,80.0,86.0
3150,2022-01-11 15:56:51.737,254.0,140.0,89.0,84.0,84.0
3151,2022-01-11 15:56:51.757,254.0,144.0,94.0,87.0,84.0
3152,2022-01-11 15:56:51.782,254.0,152.0,101.0,92.0,84.0
3153,2022-01-11 15:56:51.802,252.0,157.0,108.0,96.0,84.0
3154,2022-01-11 15:56:51.827,254.0,161.0,114.0,101.0,84.0
3155,2022-01-11 15:56:51.847,254.0,164.0,117.0,104.0,86.0
3156,2022-01-11 15:56:51.872,252.0,168.0,123.0,107.0,86.0
3157,2022-01-11 15:56:51.892,252.0,170.0,128.0,108.0,86.0
3158,2022-01-11 15:56:51.913,252.0,171.0,131.0,111.0,87.0
3159,2022-01-11 15:56:51.937,252.0,173.0,134.0,113.0,87.0
3160,2022-01-11 15:56:51.958,252.0,175.0,140.0,116.0,87.0
3161,2022-01-11 15:56:51.982,252.0,179.0,145.0,119.0,88.0
3162,2022-01-11 15:56:52.003,252.0,179.0,148.0,120.0,88.0
3163,2022-01-11 15:56:52.023,252.0,181.0,149.0,122.0,89.0
3164,2022-01-11 15:56:52.048,252.0,181.0,152.0,123.0,89.0
3165,2022-01-11 15:56:52.068,252.0,182.0,153.0,125.0,89.0
3166,2022-01-11 15:56:52.093,250.0,182.0,153.0,126.0,89.0
3167,2022-01-11 15:56:52.113,250.0,182.0,153.0,126.0,89.0
3168,2022-01-11 15:56:52.138,252.0,182.0,154.0,126.0,89.0
3169,2022-01-11 15:56:52.159,252.0,182.0,156.0,126.0,89.0
3170,2022-01-11 15:56:52.179,250.0,182.0,156.0,127.0,89.0
3171,2022-01-11 15:56:52.204,250.0,182.0,156.0,127.0,89.0
3172,2022-01-11 15:56:52.224,250.0,182.0,154.0,126.0,89.0
3173,2022-01-11 15:56:52.249,250.0,182.0,153.0,126.0,89.0
3174,2022-01-11 15:56:52.269,250.0,181.0,152.0,126.0,89.0
3175,2022-01-11 15:56:52.294,250.0,179.0,152.0,125.0,89.0
3176,2022-01-11 15:56:52.314,250.0,177.0,149.0,123.0,89.0
3177,2022-01-11 15:56:52.335,250.0,175.0,146.0,122.0,89.0
3178,2022-01-11 15:56:52.359,250.0,173.0,144.0,120.0,89.0
3179,2022-01-11 15:56:52.380,250.0,171.0,138.0,116.0,89.0
3180,2022-01-11 15:56:52.404,250.0,168.0,132.0,111.0,89.0
3181,2022-01-11 15:56:52.425,250.0,162.0,121.0,103.0,88.0
3182,2022-01-11 15:56:52.445,252.0,154.0,107.0,94.0,88.0
3183,2022-01-11 15:56:52.470,250.0,145.0,96.0,86.0,87.0
3184,2022-01-11 15:56:52.490,252.0,139.0,86.0,79.0,87.0
3185,2022-01-11 15:56:52.515,252.0,132.0,76.0,71.0,87.0
3186,2022-01-11 15:56:52.535,252.0,126.0,67.0,63.0,87.0
3187,2022-01-11 15:56:52.560,252.0,118.0,60.0,56.0,87.0
3188,2022-01-11 15:56:52.580,252.0,110.0,53.0,51.0,87.0
3189,2022-01-11 15:56:52.601,252.0,104.0,48.0,46.0,87.0
3190,2022-01-11 15:56:52.626,252.0,98.0,43.0,43.0,87.0
3191,2022-01-11 15:56:52.646,252.0,90.0,39.0,40.0,86.0
3192,2022-01-11 15:56:52.671,252.0,80.0,34.0,36.0,86.0
3193,2022-01-11 15:56:52.691,254.0,68.0,29.0,31.0,86.0
3194,2022-01-11 15:56:52.711,254.0,55.0,23.0,28.0,86.0
3195,2022-01-11 15:56:52.736,254.0,43.0,18.0,25.0,87.0
3196,2022-01-11 15:56:52.756,254.0,35.0,12.0,22.0,84.0
3197,2022-01-11 15:56:52.781,254.0,28.0,7.0,19.0,84.0
3198,2022-01-11 15:56:52.802,256.0,23.0,4.0,17.0,84.0
3199,2022-01-11 15:56:52.822,256.0,19.0,2.0,15.0,84.0
3200,2022-01-11 15:56:52.847,256.0,15.0,1.0,13.0,83.0
3201,2022-01-11 15:56:52.867,256.0,13.0,0.0,11.0,84.0
3202,2022-01-11 15:56:52.892,256.0,12.0,0.0,10.0,83.0
3203,2022-01-11 15:56:52.912,254.0,11.0,-1.0,9.0,83.0
3204,2022-01-11 15:56:52.933,254.0,11.0,-1.0,9.0,83.0
3205,2022-01-11 15:56:52.957,254.0,11.0,-1.0,8.0,82.0
3206,2022-01-11 15:56:52.978,254.0,11.0,-2.0,8.0,82.0
3207,2022-01-11 15:56:53.002,254.0,11.0,-2.0,8.0,82.0
3208,2022-01-11 15:56:53.023,254.0,11.0,-2.0,7.0,82.0
3209,2022-01-11 15:56:53.047,254.0,11.0,-2.0,7.0,81.0
3210,2022-01-11 15:56:53.068,254.0,11.0,-3.0,7.0,81.0
3211,2022-01-11 15:56:53.088,254.0,12.0,-3.0,7.0,82.0
3212,2022-01-11 15:56:53.113,254.0,12.0,-3.0,7.0,81.0
3213,2022-01-11 15:56:53.134,254.0,12.0,-3.0,7.0,81.0
