,TimeStamp,Little,Ring,Middle,Index,Thumb
1443,2022-01-11 15:56:13.883,272.0,-4.0,-6.0,2.0,90.0
1444,2022-01-11 15:56:13.904,269.0,-4.0,-6.0,2.0,90.0
1445,2022-01-11 15:56:13.924,269.0,-4.0,-6.0,2.0,90.0
1446,2022-01-11 15:56:13.949,269.0,-3.0,-6.0,2.0,90.0
1447,2022-01-11 15:56:13.969,269.0,-3.0,-6.0,2.0,90.0
1448,2022-01-11 15:56:13.994,269.0,-3.0,-6.0,2.0,90.0
1449,2022-01-11 15:56:14.014,269.0,-2.0,-6.0,3.0,90.0
1450,2022-01-11 15:56:14.034,269.0,-2.0,-6.0,3.0,90.0
1451,2022-01-11 15:56:14.059,272.0,-1.0,-6.0,3.0,90.0
1452,2022-01-11 15:56:14.080,272.0,0.0,-6.0,4.0,92.0
1453,2022-01-11 15:56:14.104,272.0,2.0,-6.0,4.0,92.0
1454,2022-01-11 15:56:14.125,272.0,5.0,-5.0,5.0,90.0
1455,2022-01-11 15:56:14.145,272.0,8.0,-5.0,6.0,90.0
1456,2022-01-11 15:56:14.170,272.0,11.0,-5.0,7.0,90.0
1457,2022-01-11 15:56:14.190,272.0,14.0,-4.0,7.0,90.0
1458,2022-01-11 15:56:14.215,272.0,18.0,-3.0,7.0,90.0
1459,2022-01-11 15:56:14.235,274.0,22.0,-2.0,9.0,90.0
1460,2022-01-11 15:56:14.256,274.0,27.0,0.0,11.0,90.0
1461,2022-01-11 15:56:14.280,274.0,30.0,4.0,13.0,89.0
1462,2022-01-11 15:56:14.301,274.0,33.0,9.0,16.0,89.0
1463,2022-01-11 15:56:14.325,274.0,37.0,13.0,21.0,90.0
1464,2022-01-11 15:56:14.346,276.0,48.0,23.0,27.0,90.0
1465,2022-01-11 15:56:14.371,276.0,65.0,32.0,31.0,90.0
1466,2022-01-11 15:56:14.391,278.0,76.0,37.0,35.0,90.0
1467,2022-01-11 15:56:14.411,278.0,84.0,42.0,40.0,90.0
1468,2022-01-11 15:56:14.436,278.0,91.0,48.0,45.0,90.0
1469,2022-01-11 15:56:14.456,278.0,101.0,55.0,53.0,90.0
1470,2022-01-11 15:56:14.481,278.0,118.0,66.0,60.0,90.0
1471,2022-01-11 15:56:14.502,278.0,130.0,76.0,68.0,90.0
1472,2022-01-11 15:56:14.522,280.0,140.0,84.0,76.0,92.0
1473,2022-01-11 15:56:14.547,278.0,147.0,92.0,84.0,92.0
1474,2022-01-11 15:56:14.567,278.0,152.0,100.0,91.0,92.0
1475,2022-01-11 15:56:14.592,278.0,159.0,108.0,96.0,93.0
1476,2022-01-11 15:56:14.612,278.0,164.0,115.0,100.0,93.0
1477,2022-01-11 15:56:14.637,278.0,168.0,121.0,104.0,93.0
1478,2022-01-11 15:56:14.657,278.0,173.0,127.0,108.0,93.0
1479,2022-01-11 15:56:14.678,276.0,175.0,134.0,111.0,93.0
1480,2022-01-11 15:56:14.702,276.0,181.0,141.0,112.0,94.0
1481,2022-01-11 15:56:14.723,276.0,184.0,148.0,113.0,95.0
1482,2022-01-11 15:56:14.747,274.0,186.0,152.0,116.0,94.0
1483,2022-01-11 15:56:14.768,276.0,190.0,157.0,119.0,95.0
1484,2022-01-11 15:56:14.788,274.0,190.0,160.0,120.0,95.0
1485,2022-01-11 15:56:14.813,274.0,192.0,163.0,122.0,95.0
1486,2022-01-11 15:56:14.833,274.0,192.0,164.0,123.0,96.0
1487,2022-01-11 15:56:14.858,274.0,194.0,166.0,122.0,95.0
1488,2022-01-11 15:56:14.878,276.0,194.0,166.0,123.0,96.0
1489,2022-01-11 15:56:14.903,272.0,196.0,169.0,123.0,95.0
1490,2022-01-11 15:56:14.923,274.0,196.0,170.0,125.0,96.0
1491,2022-01-11 15:56:14.944,272.0,198.0,172.0,123.0,95.0
1492,2022-01-11 15:56:14.969,272.0,202.0,173.0,125.0,95.0
1493,2022-01-11 15:56:14.989,272.0,204.0,175.0,125.0,95.0
1494,2022-01-11 15:56:15.014,272.0,204.0,176.0,126.0,95.0
1495,2022-01-11 15:56:15.034,272.0,204.0,176.0,126.0,95.0
1496,2022-01-11 15:56:15.059,272.0,204.0,176.0,126.0,95.0
1497,2022-01-11 15:56:15.079,272.0,204.0,176.0,126.0,95.0
