,TimeStamp,Little,Ring,Middle,Index,Thumb
7792,2022-01-11 15:58:34.639,232.0,13.0,-1.0,7.0,75.0
7793,2022-01-11 15:58:34.663,232.0,13.0,-1.0,7.0,75.0
7794,2022-01-11 15:58:34.684,232.0,13.0,-1.0,7.0,75.0
7795,2022-01-11 15:58:34.704,232.0,14.0,-1.0,8.0,75.0
7796,2022-01-11 15:58:34.729,232.0,15.0,-1.0,8.0,74.0
7797,2022-01-11 15:58:34.749,230.0,15.0,-1.0,8.0,75.0
7798,2022-01-11 15:58:34.774,230.0,15.0,-1.0,9.0,75.0
7799,2022-01-11 15:58:34.794,230.0,16.0,0.0,9.0,75.0
7800,2022-01-11 15:58:34.815,230.0,19.0,0.0,9.0,75.0
7801,2022-01-11 15:58:34.840,230.0,22.0,1.0,11.0,75.0
7802,2022-01-11 15:58:34.860,230.0,28.0,6.0,13.0,75.0
7803,2022-01-11 15:58:34.885,230.0,32.0,13.0,17.0,75.0
7804,2022-01-11 15:58:34.905,230.0,41.0,21.0,20.0,76.0
7805,2022-01-11 15:58:34.925,230.0,50.0,29.0,26.0,75.0
7806,2022-01-11 15:58:34.950,228.0,55.0,33.0,30.0,75.0
7807,2022-01-11 15:58:34.971,228.0,58.0,36.0,33.0,76.0
7808,2022-01-11 15:58:34.995,228.0,62.0,38.0,36.0,76.0
7809,2022-01-11 15:58:35.016,228.0,65.0,40.0,40.0,76.0
7810,2022-01-11 15:58:35.040,228.0,71.0,44.0,43.0,76.0
7811,2022-01-11 15:58:35.061,228.0,76.0,47.0,46.0,76.0
7812,2022-01-11 15:58:35.081,228.0,80.0,50.0,51.0,76.0
7813,2022-01-11 15:58:35.106,228.0,86.0,56.0,58.0,78.0
7814,2022-01-11 15:58:35.126,228.0,91.0,61.0,65.0,76.0
7815,2022-01-11 15:58:35.151,228.0,97.0,66.0,71.0,78.0
7816,2022-01-11 15:58:35.171,228.0,103.0,71.0,75.0,78.0
7817,2022-01-11 15:58:35.192,228.0,107.0,76.0,80.0,78.0
7818,2022-01-11 15:58:35.217,228.0,113.0,83.0,85.0,78.0
7819,2022-01-11 15:58:35.237,228.0,118.0,88.0,89.0,78.0
7820,2022-01-11 15:58:35.262,228.0,123.0,93.0,92.0,78.0
7821,2022-01-11 15:58:35.282,228.0,127.0,99.0,98.0,78.0
7822,2022-01-11 15:58:35.302,228.0,134.0,106.0,101.0,79.0
7823,2022-01-11 15:58:35.327,228.0,137.0,109.0,105.0,79.0
7824,2022-01-11 15:58:35.347,228.0,142.0,115.0,109.0,79.0
7825,2022-01-11 15:58:35.372,228.0,149.0,121.0,113.0,79.0
7826,2022-01-11 15:58:35.392,228.0,157.0,127.0,116.0,79.0
7827,2022-01-11 15:58:35.417,228.0,164.0,133.0,120.0,79.0
7828,2022-01-11 15:58:35.438,228.0,171.0,141.0,125.0,79.0
7829,2022-01-11 15:58:35.458,228.0,177.0,145.0,127.0,79.0
7830,2022-01-11 15:58:35.483,228.0,181.0,150.0,130.0,79.0
7831,2022-01-11 15:58:35.503,228.0,186.0,157.0,133.0,80.0
7832,2022-01-11 15:58:35.528,230.0,188.0,163.0,135.0,80.0
7833,2022-01-11 15:58:35.548,230.0,190.0,166.0,135.0,81.0
7834,2022-01-11 15:58:35.573,230.0,190.0,167.0,135.0,81.0
