,TimeStamp,Little,Ring,Middle,Index,Thumb
5491,2022-01-11 15:57:43.636,240.0,15.0,-1.0,9.0,80.0
5492,2022-01-11 15:57:43.657,240.0,16.0,-1.0,9.0,80.0
5493,2022-01-11 15:57:43.681,242.0,16.0,0.0,10.0,79.0
5494,2022-01-11 15:57:43.702,240.0,19.0,0.0,10.0,79.0
5495,2022-01-11 15:57:43.722,240.0,22.0,0.0,12.0,80.0
5496,2022-01-11 15:57:43.747,240.0,24.0,1.0,12.0,80.0
5497,2022-01-11 15:57:43.767,240.0,25.0,3.0,13.0,80.0
5498,2022-01-11 15:57:43.792,240.0,25.0,5.0,14.0,79.0
5499,2022-01-11 15:57:43.812,240.0,28.0,7.0,16.0,80.0
5500,2022-01-11 15:57:43.833,240.0,32.0,12.0,20.0,80.0
5501,2022-01-11 15:57:43.857,240.0,38.0,19.0,23.0,80.0
5502,2022-01-11 15:57:43.878,238.0,44.0,23.0,25.0,80.0
5503,2022-01-11 15:57:43.903,238.0,49.0,26.0,27.0,80.0
5504,2022-01-11 15:57:43.923,238.0,54.0,29.0,32.0,80.0
5505,2022-01-11 15:57:43.943,238.0,60.0,34.0,37.0,81.0
5506,2022-01-11 15:57:43.968,240.0,68.0,38.0,40.0,81.0
5507,2022-01-11 15:57:43.988,240.0,75.0,42.0,44.0,80.0
5508,2022-01-11 15:57:44.013,238.0,80.0,45.0,48.0,81.0
5509,2022-01-11 15:57:44.034,238.0,86.0,49.0,52.0,80.0
5510,2022-01-11 15:57:44.054,236.0,94.0,53.0,55.0,81.0
5511,2022-01-11 15:57:44.079,236.0,100.0,55.0,58.0,81.0
5512,2022-01-11 15:57:44.099,236.0,104.0,59.0,63.0,82.0
5513,2022-01-11 15:57:44.124,238.0,110.0,64.0,67.0,81.0
5514,2022-01-11 15:57:44.144,236.0,116.0,70.0,73.0,81.0
5515,2022-01-11 15:57:44.169,236.0,123.0,76.0,78.0,81.0
5516,2022-01-11 15:57:44.189,236.0,127.0,82.0,81.0,81.0
5517,2022-01-11 15:57:44.210,236.0,135.0,89.0,86.0,82.0
5518,2022-01-11 15:57:44.234,236.0,140.0,96.0,91.0,82.0
5519,2022-01-11 15:57:44.255,236.0,147.0,101.0,95.0,82.0
5520,2022-01-11 15:57:44.279,236.0,152.0,106.0,99.0,82.0
5521,2022-01-11 15:57:44.300,236.0,157.0,111.0,101.0,82.0
5522,2022-01-11 15:57:44.320,236.0,161.0,117.0,107.0,83.0
5523,2022-01-11 15:57:44.345,236.0,166.0,122.0,108.0,83.0
5524,2022-01-11 15:57:44.365,236.0,168.0,126.0,111.0,83.0
5525,2022-01-11 15:57:44.390,236.0,171.0,129.0,112.0,83.0
5526,2022-01-11 15:57:44.410,236.0,173.0,134.0,115.0,83.0
5527,2022-01-11 15:57:44.435,236.0,175.0,140.0,118.0,84.0
5528,2022-01-11 15:57:44.456,236.0,177.0,142.0,119.0,84.0
5529,2022-01-11 15:57:44.476,236.0,179.0,146.0,122.0,86.0
5530,2022-01-11 15:57:44.501,236.0,181.0,150.0,125.0,86.0
5531,2022-01-11 15:57:44.521,236.0,182.0,152.0,127.0,86.0
5532,2022-01-11 15:57:44.546,236.0,182.0,156.0,130.0,87.0
5533,2022-01-11 15:57:44.566,236.0,182.0,157.0,132.0,87.0
5534,2022-01-11 15:57:44.591,236.0,184.0,159.0,133.0,87.0
5535,2022-01-11 15:57:44.611,238.0,184.0,160.0,133.0,87.0
5536,2022-01-11 15:57:44.632,236.0,184.0,161.0,135.0,88.0
