,TimeStamp,Little,Ring,Middle,Index,Thumb
7808,2022-01-11 15:47:24.827,20.0,3.0,4.0,-3.0,28.0
7809,2022-01-11 15:47:24.848,20.0,3.0,3.0,-3.0,28.0
7810,2022-01-11 15:47:24.872,21.0,3.0,3.0,-3.0,28.0
7811,2022-01-11 15:47:24.893,19.0,3.0,3.0,-3.0,29.0
7812,2022-01-11 15:47:24.913,19.0,3.0,3.0,-3.0,28.0
7813,2022-01-11 15:47:24.938,19.0,3.0,3.0,-3.0,28.0
7814,2022-01-11 15:47:24.958,19.0,3.0,3.0,-3.0,28.0
7815,2022-01-11 15:47:24.983,19.0,3.0,3.0,-3.0,28.0
7816,2022-01-11 15:47:25.003,20.0,3.0,3.0,-3.0,28.0
7817,2022-01-11 15:47:25.024,20.0,4.0,3.0,-3.0,28.0
7818,2022-01-11 15:47:25.048,21.0,4.0,3.0,-3.0,28.0
7819,2022-01-11 15:47:25.069,21.0,5.0,4.0,-2.0,28.0
7820,2022-01-11 15:47:25.093,22.0,5.0,4.0,-2.0,27.0
7821,2022-01-11 15:47:25.114,22.0,6.0,5.0,-2.0,28.0
7822,2022-01-11 15:47:25.134,24.0,7.0,5.0,-2.0,28.0
7823,2022-01-11 15:47:25.159,26.0,10.0,7.0,-1.0,28.0
7824,2022-01-11 15:47:25.179,31.0,14.0,9.0,0.0,28.0
7825,2022-01-11 15:47:25.204,34.0,18.0,11.0,0.0,28.0
7826,2022-01-11 15:47:25.224,39.0,24.0,16.0,0.0,28.0
7827,2022-01-11 15:47:25.245,48.0,35.0,23.0,3.0,28.0
7828,2022-01-11 15:47:25.270,58.0,48.0,35.0,6.0,28.0
7829,2022-01-11 15:47:25.290,67.0,63.0,50.0,9.0,28.0
7830,2022-01-11 15:47:25.315,78.0,84.0,67.0,14.0,28.0
7831,2022-01-11 15:47:25.335,92.0,107.0,86.0,17.0,29.0
7832,2022-01-11 15:47:25.355,108.0,130.0,105.0,20.0,29.0
7833,2022-01-11 15:47:25.380,128.0,154.0,123.0,23.0,29.0
7834,2022-01-11 15:47:25.401,152.0,177.0,142.0,26.0,30.0
7835,2022-01-11 15:47:25.425,172.0,196.0,160.0,29.0,30.0
7836,2022-01-11 15:47:25.446,188.0,205.0,173.0,31.0,30.0
7837,2022-01-11 15:47:25.470,206.0,220.0,192.0,34.0,30.0
7838,2022-01-11 15:47:25.491,219.0,226.0,205.0,35.0,31.0
7839,2022-01-11 15:47:25.511,228.0,230.0,212.0,37.0,32.0
7840,2022-01-11 15:47:25.536,230.0,230.0,215.0,36.0,32.0
7841,2022-01-11 15:47:25.556,236.0,234.0,217.0,36.0,32.0
7842,2022-01-11 15:47:25.581,242.0,237.0,219.0,35.0,32.0
