,TimeStamp,Little,Ring,Middle,Index,Thumb
495,2022-01-11 15:44:42.934,7.0,0.0,2.0,-3.0,34.0
496,2022-01-11 15:44:42.955,7.0,0.0,1.0,-3.0,34.0
497,2022-01-11 15:44:42.975,7.0,0.0,1.0,-3.0,34.0
498,2022-01-11 15:44:43.000,7.0,0.0,2.0,-3.0,34.0
499,2022-01-11 15:44:43.020,7.0,1.0,2.0,-2.0,34.0
500,2022-01-11 15:44:43.045,7.0,2.0,3.0,-2.0,34.0
501,2022-01-11 15:44:43.065,8.0,5.0,4.0,-1.0,34.0
502,2022-01-11 15:44:43.086,12.0,15.0,11.0,0.0,34.0
503,2022-01-11 15:44:43.111,17.0,30.0,20.0,1.0,34.0
504,2022-01-11 15:44:43.131,24.0,41.0,27.0,3.0,34.0
505,2022-01-11 15:44:43.156,32.0,55.0,36.0,5.0,34.0
506,2022-01-11 15:44:43.176,43.0,73.0,47.0,7.0,35.0
507,2022-01-11 15:44:43.196,57.0,90.0,60.0,9.0,35.0
508,2022-01-11 15:44:43.221,69.0,107.0,73.0,11.0,35.0
509,2022-01-11 15:44:43.242,86.0,124.0,87.0,14.0,35.0
510,2022-01-11 15:44:43.266,104.0,140.0,102.0,17.0,36.0
511,2022-01-11 15:44:43.287,122.0,155.0,115.0,18.0,36.0
512,2022-01-11 15:44:43.311,137.0,166.0,126.0,20.0,37.0
513,2022-01-11 15:44:43.332,152.0,173.0,134.0,21.0,37.0
514,2022-01-11 15:44:43.352,162.0,184.0,146.0,23.0,38.0
515,2022-01-11 15:44:43.377,180.0,194.0,159.0,24.0,39.0
516,2022-01-11 15:44:43.397,190.0,202.0,167.0,25.0,39.0
517,2022-01-11 15:44:43.422,199.0,205.0,170.0,26.0,40.0
518,2022-01-11 15:44:43.442,204.0,207.0,176.0,27.0,40.0
519,2022-01-11 15:44:43.463,213.0,212.0,184.0,28.0,40.0
520,2022-01-11 15:44:43.487,221.0,216.0,187.0,28.0,40.0
521,2022-01-11 15:44:43.508,224.0,216.0,188.0,28.0,40.0
522,2022-01-11 15:44:43.533,226.0,218.0,190.0,29.0,41.0
523,2022-01-11 15:44:43.553,228.0,218.0,193.0,29.0,41.0
524,2022-01-11 15:44:43.578,230.0,218.0,197.0,30.0,41.0
525,2022-01-11 15:44:43.598,232.0,220.0,198.0,29.0,41.0
