,TimeStamp,Little,Ring,Middle,Index,Thumb
9751,2022-01-11 15:48:07.830,15.0,3.0,2.0,-7.0,25.0
9752,2022-01-11 15:48:07.854,16.0,3.0,2.0,-7.0,25.0
9753,2022-01-11 15:48:07.875,15.0,4.0,2.0,-7.0,25.0
9754,2022-01-11 15:48:07.900,16.0,4.0,2.0,-7.0,25.0
9755,2022-01-11 15:48:07.920,16.0,4.0,2.0,-7.0,25.0
9756,2022-01-11 15:48:07.940,16.0,4.0,2.0,-7.0,25.0
9757,2022-01-11 15:48:07.965,16.0,4.0,2.0,-7.0,25.0
9758,2022-01-11 15:48:07.985,16.0,4.0,2.0,-7.0,25.0
9759,2022-01-11 15:48:08.010,16.0,4.0,2.0,-7.0,25.0
9760,2022-01-11 15:48:08.031,16.0,4.0,2.0,-7.0,25.0
9761,2022-01-11 15:48:08.051,15.0,4.0,2.0,-7.0,25.0
9762,2022-01-11 15:48:08.076,16.0,4.0,2.0,-6.0,25.0
9763,2022-01-11 15:48:08.096,17.0,6.0,2.0,-6.0,25.0
9764,2022-01-11 15:48:08.121,17.0,7.0,3.0,-6.0,25.0
9765,2022-01-11 15:48:08.141,18.0,9.0,3.0,-5.0,25.0
9766,2022-01-11 15:48:08.161,21.0,13.0,5.0,-5.0,25.0
9767,2022-01-11 15:48:08.186,29.0,19.0,9.0,-4.0,25.0
9768,2022-01-11 15:48:08.207,45.0,30.0,16.0,-1.0,25.0
9769,2022-01-11 15:48:08.231,67.0,50.0,29.0,0.0,25.0
9770,2022-01-11 15:48:08.252,96.0,76.0,49.0,6.0,27.0
9771,2022-01-11 15:48:08.276,113.0,106.0,72.0,9.0,25.0
9772,2022-01-11 15:48:08.297,125.0,132.0,95.0,12.0,25.0
9773,2022-01-11 15:48:08.317,149.0,162.0,124.0,17.0,25.0
9774,2022-01-11 15:48:08.342,178.0,188.0,150.0,20.0,26.0
9775,2022-01-11 15:48:08.362,202.0,204.0,164.0,22.0,26.0
9776,2022-01-11 15:48:08.387,217.0,210.0,175.0,23.0,26.0
9777,2022-01-11 15:48:08.407,224.0,218.0,188.0,25.0,26.0
9778,2022-01-11 15:48:08.428,234.0,224.0,203.0,27.0,27.0
9779,2022-01-11 15:48:08.453,240.0,232.0,213.0,28.0,27.0
