,,,YAW,PITCH,ROLL
265,51:00.7,ypr,113.39,128.26,141.7
267,51:00.7,ypr,113.21,127.86,141.64
269,51:00.7,ypr,113.04,127.51,141.6
271,51:00.7,ypr,112.93,127.18,141.47
273,51:00.8,ypr,112.86,126.94,141.34
275,51:00.8,ypr,112.85,126.79,141.19
277,51:00.8,ypr,112.9,126.73,141.08
279,51:00.8,ypr,112.95,126.78,141.13
281,51:00.8,ypr,112.98,126.85,141.3
283,51:00.8,ypr,112.99,126.94,141.56
285,51:00.8,ypr,113,127.08,141.85
287,51:00.8,ypr,112.99,127.27,142.21
289,51:00.8,ypr,112.98,127.52,142.58
291,51:00.9,ypr,112.98,127.81,142.93
293,51:00.9,ypr,112.99,128.1,143.25
295,51:00.9,ypr,113.01,128.48,143.62
297,51:00.9,ypr,113.02,128.87,144.05
299,51:00.9,ypr,113.02,129.31,144.5
301,51:00.9,ypr,113.03,129.85,144.99
303,51:00.9,ypr,113.03,130.41,145.49
305,51:00.9,ypr,113.06,131,145.91
307,51:00.9,ypr,113.1,131.64,146.3
309,51:00.9,ypr,113.15,132.25,146.58
311,51:00.9,ypr,113.16,132.91,146.88
313,51:01.0,ypr,113.14,133.57,147.18
315,51:01.0,ypr,113.11,134.23,147.45
317,51:01.0,ypr,113.04,134.86,147.73
319,51:01.0,ypr,112.95,135.46,148.03
321,51:01.0,ypr,112.86,135.99,148.21
323,51:01.0,ypr,112.78,136.52,148.29
325,51:01.0,ypr,112.71,137.03,148.3
327,51:01.0,ypr,112.68,137.48,148.24
329,51:01.0,ypr,112.64,137.91,148.14
331,51:01.1,ypr,112.58,138.35,148.09
333,51:01.1,ypr,112.52,138.8,148.03
335,51:01.1,ypr,112.42,139.25,147.99
337,51:01.1,ypr,112.3,139.77,148
339,51:01.1,ypr,112.15,140.22,148.02
341,51:01.1,ypr,111.93,140.72,148.12
343,51:01.1,ypr,111.62,141.16,148.29
345,51:01.1,ypr,111.26,141.51,148.45
347,51:01.1,ypr,110.9,141.77,148.59
349,51:01.1,ypr,110.55,142.02,148.74
351,51:01.2,ypr,110.25,142.2,148.83
353,51:01.2,ypr,109.99,142.37,148.89
355,51:01.2,ypr,109.78,142.59,148.92
357,51:01.2,ypr,109.6,142.85,148.92
359,51:01.2,ypr,109.42,143.15,148.92
361,51:01.2,ypr,109.23,143.45,148.94
363,51:01.2,ypr,109.01,143.82,148.98
365,51:01.2,ypr,108.77,144.23,149.07
367,51:01.2,ypr,108.52,144.58,149.14
