,Raw_ax,Raw_ay,Raw_az,Raw_gx,Raw_gy,Raw_gz,Ax,Ay,Az,Gx,Gy,Gz,Q0,Q1,Q2,Q3,ROLL,PITCH,YAW,Eu_Roll,Eu_Pitch,Eu_Yaw,Distance
767,-4792,824,17156,-3007,-5144,-1848,-2.339635,0.402594,8.377325,-3.009134,-5.500672,-1.990986,0.987873,0.027487,0.141053,-0.009217,0.053883,0.282951,-0.010891,3.087272,16.211916,-0.624017,21
768,-4288,1032,16412,-1125,-5353,-1719,-2.093538,0.504158,8.014038,-1.004275,-5.723315,-1.853565,0.988791,0.026462,0.134539,-0.010999,0.051255,0.269908,-0.015184,2.936707,15.464606,-0.869989,21
769,-4676,-152,17000,-1941,-5203,-1558,-2.282994,-0.073976,8.301152,-1.873544,-5.563523,-1.682055,0.989575,0.023333,0.129085,-0.012692,0.044402,0.258955,-0.019758,2.544039,14.837012,-1.132052,24
770,-3708,344,18056,-2542,-3899,-956,-1.81033,0.168215,8.816785,-2.513778,-4.174397,-1.040756,0.990266,0.020264,0.124131,-0.013527,0.037959,0.248957,-0.022456,2.174862,14.264188,-1.286659,24
771,-3900,-352,17588,-1047,-2932,-327,-1.904082,-0.171633,8.588266,-0.921183,-3.144271,-0.370694,0.990735,0.018395,0.120579,-0.013944,0.034089,0.241785,-0.023893,1.953152,13.853249,-1.368943,24
772,-3764,764,17540,-113,-2737,154,-1.837675,0.373297,8.564828,0.073789,-2.936541,0.141706,0.991192,0.018716,0.116734,-0.013817,0.034836,0.234059,-0.023672,1.995954,13.410606,-1.356292,24
773,-3864,336,17296,-509,-2322,160,-1.886503,0.164309,8.445686,-0.348062,-2.49445,0.148097,0.991577,0.017641,0.113596,-0.013749,0.032715,0.227726,-0.023879,1.87444,13.047716,-1.368194,24
774,-3688,520,17496,529,-2731,536,-1.800565,0.254154,8.543343,0.757699,-2.930149,0.548643,0.992008,0.018267,0.109713,-0.013344,0.034145,0.219928,-0.023025,1.956356,12.600934,-1.319262,27
775,-3348,760,17400,-88,-2337,609,-1.634546,0.371344,8.496468,0.100421,-2.510429,0.626408,0.992383,0.018682,0.106276,-0.012733,0.035178,0.213015,-0.021796,2.015553,12.204858,-1.248837,27
776,-3560,408,17568,88,-2016,487,-1.738064,0.199466,8.5785,0.28791,-2.168474,0.496444,0.992699,0.018337,0.103385,-0.012369,0.034598,0.207192,-0.021222,1.982326,11.871241,-1.215937,27
777,-3332,720,17268,73,-2234,479,-1.626734,0.351812,8.432013,0.271931,-2.400705,0.487922,0.993031,0.018995,0.100081,-0.011902,0.036076,0.200561,-0.020245,2.06702,11.491321,-1.159967,27
778,-3500,692,17548,-122,-2405,425,-1.708766,0.33814,8.568734,0.064201,-2.582868,0.430397,0.993352,0.019702,0.09675,-0.011453,0.037643,0.193877,-0.019305,2.156804,11.10835,-1.106115,27
779,-3212,612,17504,-47,-2575,477,-1.568139,0.299077,8.54725,0.144097,-2.763966,0.485791,0.993712,0.019654,0.093039,-0.011041,0.03767,0.18642,-0.018611,2.15832,10.681092,-1.066313,26
780,-3040,560,17572,10,-2433,327,-1.484154,0.273686,8.580453,0.204818,-2.612696,0.325999,0.994041,0.019509,0.089519,-0.010803,0.037463,0.179353,-0.01828,2.14648,10.276188,-1.047351,26
781,-2968,732,17512,-87,-2278,-50,-1.448997,0.357671,8.551156,0.101486,-2.447577,-0.075611,0.994329,0.019908,0.086161,-0.010888,0.038295,0.172635,-0.018498,2.194161,9.89124,-1.059883,26
782,-3100,744,17348,-369,-2432,-183,-1.513451,0.363531,8.471077,-0.198923,-2.61163,-0.217294,0.994482,0.020406,0.084217,-0.011086,0.03929,0.168757,-0.018884,2.251137,9.669056,-1.081964,26
783,-3120,664,17532,-707,-3399,-280,-1.523217,0.324468,8.560922,-0.558988,-3.641757,-0.320626,0.994714,0.019604,0.081575,-0.011467,0.037643,0.163465,-0.019881,2.156806,9.365841,-1.139076,26
784,-2632,396,17760,-579,-3936,-347,-1.284932,0.193606,8.672251,-0.422632,-4.213813,-0.392,0.995122,0.018428,0.076677,-0.011947,0.035269,0.153649,-0.021203,2.020759,8.803456,-1.21483,23
785,-2172,412,17856,-241,-3520,-263,-1.060319,0.201419,8.719127,-0.062567,-3.770656,-0.302516,0.995474,0.017947,0.072009,-0.012323,0.034322,0.144309,-0.022183,1.966505,8.268279,-1.270999,23
786,-2228,616,17744,-133,-2872,58,-1.087663,0.30103,8.664439,0.052483,-3.080354,0.039439,0.995759,0.017975,0.067954,-0.012325,0.034449,0.136196,-0.022312,1.973787,7.803473,-1.278382,23
787,-2208,848,17896,-492,-2904,-125,-1.077897,0.414313,8.738659,-0.329953,-3.114443,-0.155508,0.996005,0.018272,0.06413,-0.012455,0.035098,0.128556,-0.022656,2.010972,7.365736,-1.298091,23
788,-2124,520,17792,-581,-3163,-393,-1.036881,0.254154,8.687877,-0.424763,-3.390351,-0.441003,0.996279,0.017266,0.05992,-0.012947,0.033097,0.120129,-0.023903,1.896314,6.88288,-1.369566,27
789,-2200,512,17580,-400,-3575,-359,-1.073991,0.250248,8.58436,-0.231947,-3.829246,-0.404783,0.996468,0.016297,0.056855,-0.013455,0.031156,0.113994,-0.025127,1.785127,6.531368,-1.439691,27
790,-1652,416,17832,-275,-3662,-183,-0.806409,0.203372,8.707408,-0.098787,-3.921926,-0.217294,0.996737,0.015788,0.052022,-0.013735,0.030213,0.104328,-0.025881,1.73106,5.977567,-1.482876,27
791,-1448,564,17872,-448,-3304,-151,-0.706798,0.275639,8.72694,-0.28308,-3.540555,-0.183205,0.996964,0.015492,0.047508,-0.013941,0.029705,0.095304,-0.026449,1.701984,5.460531,-1.515401,27
792,-1492,528,17816,-454,-3150,-247,-0.728283,0.258061,8.699596,-0.289472,-3.376502,-0.285472,0.997163,0.015126,0.043157,-0.01425,0.02905,0.086608,-0.027219,1.664421,4.962286,-1.559554,27
793,-1144,452,17900,-343,-2925,-181,-0.558358,0.220951,8.740612,-0.171226,-3.136814,-0.215163,0.997334,0.014727,0.039056,-0.014498,0.028333,0.07841,-0.027858,1.623375,4.492569,-1.596128,34
794,-1060,256,18016,-139,-2571,-9,-0.517342,0.125246,8.797253,0.046091,-2.759704,-0.031935,0.997474,0.014142,0.035502,-0.014584,0.027249,0.071297,-0.028166,1.56127,4.085003,-1.613772,34
795,-1056,464,17720,25,-2282,153,-0.515389,0.22681,8.65272,0.220798,-2.451838,0.14064,0.997591,0.01423,0.03206,-0.014476,0.027525,0.064423,-0.028032,1.577044,3.691138,-1.606124,34
796,-884,584,17880,-179,-2010,86,-0.431403,0.285405,8.730846,0.00348,-2.162082,0.069267,0.997683,0.014514,0.028954,-0.014415,0.028177,0.058225,-0.027974,1.614446,3.336061,-1.602764,34
797,-916,512,17864,-276,-1895,10,-0.447028,0.250248,8.723033,-0.099852,-2.039575,-0.011695,0.997767,0.014442,0.025924,-0.014437,0.028113,0.052174,-0.028104,1.61074,2.989331,-1.610213,34
798,-948,472,17736,-230,-2204,-62,-0.462654,0.230716,8.660533,-0.050849,-2.368746,-0.088395,0.99782,0.013583,0.024196,-0.014588,0.026435,0.048701,-0.028492,1.514638,2.790366,-1.632467,38
